"ind","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","Population","population"
"SIB",0.0327567,0.000485358,0.0104059,-0.03575,-0.0119081,-0.0173837,0.0158342,0.00569336,-0.0145799,-0.0233297,0.00824454,0.0295295,-0.0261964,-0.00361687,-0.0152749,-0.0350465,0.0312266,-0.0101103,-0.0039427,0.0251186,"SIB","SIB"
"SIB",0.0337808,-0.0115707,-0.00263871,-0.0125236,-0.00191203,-0.0052291,0.00236492,-0.0116918,-0.0133122,0.0315412,-0.011985,-0.0135918,-0.0227536,-0.0298129,-0.0291151,0.0114255,-0.025486,-0.0223358,0.0303111,-0.00318951,"SIB","SIB"
"SIB",0.0284596,0.027335,0.025678,0.00185093,-0.0102616,0.0141354,0.00269154,-0.0123959,-0.0129527,-0.016995,0.00967505,0.00813293,-0.0443367,-0.00683613,-0.00271994,0.00948623,-0.023571,-0.0142051,0.0439151,-0.0234712,"SIB","SIB"
"SIB",0.0335261,0.00451164,-0.00617764,-0.0123605,0.000468563,-0.00317053,0.00528182,-0.0241435,-0.0108765,-0.00669269,-0.001009,-0.0017025,-0.0378551,-0.0142836,-0.0277455,0.0208755,-0.0326232,-0.00596127,0.0480914,-0.0152054,"SIB","SIB"
"SIB",0.0295993,0.012815,0.0237333,-0.00426971,-0.0202325,0.0109651,-0.00139757,-0.0147899,-0.00991718,0.0177307,-0.000793518,-0.00133395,-0.0407298,-0.0229113,-0.00803369,0.0122048,-0.031233,-0.0104119,0.0342659,-0.0153476,"SIB","SIB"
"SIB",0.0328711,-0.00941356,0.00496518,-0.00290417,-0.0287003,-0.0101944,-0.00516229,-0.00176456,-0.00463654,0.0214428,0.0234626,0.00854599,0.0236797,-0.05503,-0.00744389,0.00914364,-0.0241216,0.0115004,0.00261808,0.0300657,"SIB","SIB"
"SIB",0.0319862,-0.0119129,0.00821499,0.0290307,0.0070339,-0.0306119,-0.00253028,0.0141071,0.0121867,-0.0393842,-0.0132471,-0.0140572,0.00805829,-0.0167972,0.00643796,-0.000355249,-0.0152264,0.00952066,-0.00765271,0.0266416,"SIB","SIB"
"SIB",0.0318864,-0.0140792,0.0112955,0.0298573,-0.00403769,-0.0254418,-0.00638498,0.00589204,0.00305816,-0.0160565,0.00152057,-0.00975869,0.0219525,-0.0490045,-0.00545963,0.0113213,-0.0305958,0.0142867,-0.00200113,0.0400417,"SIB","SIB"
"SIB",0.0294834,0.0236428,0.0243998,-0.00870406,-0.0079209,-0.00152327,0.00632717,-0.00434428,-0.0158023,-0.0158,0.0228068,0.00400928,0.0238592,-0.0171356,0.0104176,0.055624,-0.0169805,0.0506343,0.0309734,-0.00347268,"SIB","SIB"
"SIB",0.0306049,0.00764925,0.0172153,0.00540989,-0.000209504,-0.00791085,-0.0089507,-0.00396962,0.00652512,-0.00511369,0.0221864,-0.00370929,0.0351085,-0.0569192,0.0032928,0.0370093,-0.030071,0.0493154,0.0159801,0.0239138,"SIB","SIB"
"SIB",0.0317198,0.00285496,0.0130251,0.00657493,-0.00146884,-0.00749735,0.00610606,-0.00542598,-0.0286425,-0.0358432,0.00969449,0.0146387,0.0287006,-0.0224849,-0.00566948,0.0305537,-0.0417517,0.0385858,0.0227723,0.0298055,"SIB","SIB"
"SIB",0.0334622,-0.0170687,-0.00130675,-0.0134167,0.0804839,0.0797314,-0.240718,-0.00584112,0.00201107,0.01055,0.0419287,-0.0475685,-0.002296,0.018522,0.0240336,0.0239634,-0.00910369,0.00633923,-0.00633276,0.0167996,"SIB","SIB"
"SIB",0.034133,0.00575086,-0.00330049,-0.0396641,0.00917517,0.0968572,-0.229543,-0.0296407,-0.00244907,-0.0445284,0.0242649,-0.00165108,-0.00588826,0.0138724,-0.0114385,0.0113738,-0.0208748,-0.00526409,-0.0056256,-0.00349874,"SIB","SIB"
"SIB",0.0334148,-0.00859869,-0.00116639,-0.026496,0.0531232,0.121142,-0.27808,-0.0123928,0.000380838,0.00436999,0.0532606,-0.0293774,0.00375729,0.0340585,0.00906206,0.0154581,-0.0172571,0.00718377,-0.00104398,0.000683008,"SIB","SIB"
"SIB",0.0352414,-0.00504748,-0.0102155,-0.0455557,0.0392399,0.103826,-0.247483,-0.0373217,0.0170092,-0.00836801,0.0325498,-0.0381554,-0.00477298,-0.00568051,0.00556319,0.0121592,-0.0117884,-0.011444,-0.0162736,0.030013,"SIB","SIB"
"SIB",0.0309204,0.00718502,0.0255521,-0.0160524,0.0606888,0.0264135,0.0677919,0.0268667,-0.0910327,-0.0410189,-0.021715,-0.201143,0.0934429,-0.00837222,0.0376563,0.00310774,0.0206153,-0.0350615,-0.0289192,0.0498014,"SIB","SIB"
"SIB",0.0317843,-0.0140504,0.00884942,-0.0216539,0.0613386,0.050787,0.0683069,0.0164685,-0.10666,-0.0198208,-0.0164278,-0.157894,0.0780405,0.0423498,0.0293338,0.0508279,0.0497514,0.0337933,-0.0193535,0.0215496,"SIB","SIB"
"SIB",0.0319299,-0.00105373,0.0114464,-0.0281021,0.0735235,0.0584444,0.0983919,0.0354764,-0.140936,-0.0456738,-0.0208716,-0.217516,0.108297,0.012977,0.02981,0.0337962,0.0480912,0.00155407,-0.0423932,0.0411523,"SIB","SIB"
"SIB",0.0326986,-0.0126777,-0.0167416,0.038091,-0.0100207,-0.00273933,0.0217857,0.00379067,0.0123401,0.0728668,0.0570914,-0.0929172,-0.0787124,-0.0784871,-0.137609,-0.0783328,-0.0641969,-0.00259046,0.0542359,0.0488344,"SIB","SIB"
"SIB",0.0341663,0.00647787,-0.00877012,-0.00187551,0.00720562,0.0156719,-0.000320559,0.0290968,-0.0357535,0.0319648,0.0270881,-0.049622,-0.0589487,-0.0456221,-0.126591,-0.0708098,-0.0511217,-0.103686,0.0597126,0.00595137,"SIB","SIB"
"SIB",0.0337431,-0.00938726,-0.014862,0.0343164,0.019344,0.0319696,0.0186984,0.0272654,-0.0143068,0.0832426,0.0733292,-0.0937567,-0.0915396,-0.0750236,-0.179242,-0.0997047,-0.0815218,-0.0647671,0.0844727,0.0277495,"SIB","SIB"
"SIB",0.0341884,0.00655464,-0.00868277,-0.00178851,0.00724177,0.0156697,-0.000399618,0.029059,-0.0357272,0.0319578,0.0271667,-0.0496185,-0.0590295,-0.0456077,-0.126723,-0.0707427,-0.0511015,-0.103651,0.0596835,0.00597899,"SIB","SIB"
"SIB",0.0326239,-0.0128082,-0.0159798,0.0380771,-0.00973005,-0.00275038,0.0216793,0.00396146,0.0121021,0.0730533,0.0574273,-0.0925878,-0.0788232,-0.0783654,-0.137783,-0.0788176,-0.0643103,-0.00240246,0.0541734,0.0487945,"SIB","SIB"
"SIB",0.0337614,-0.00924856,-0.0150657,0.0343792,0.0194552,0.0319008,0.0186735,0.0272758,-0.0142313,0.0831972,0.0732474,-0.0937566,-0.0914096,-0.0750775,-0.179278,-0.0996453,-0.0815771,-0.0647439,0.0843834,0.0277227,"SIB","SIB"
"SIB",0.0240704,0.0399826,0.0578536,0.0717777,0.0150698,0.0276294,-0.0207273,0.00903907,-0.0825626,0.0858065,-0.152508,0.0513076,0.0291934,0.0552925,-0.0586561,-0.00930266,-0.00314987,0.100143,-0.0440067,0.0421234,"SIB","SIB"
"SIB",0.0200642,0.0473518,0.110977,0.0770009,0.00177186,-0.018138,-0.0411053,-0.00771982,-0.0644452,0.0401378,-0.0777873,0.0451853,-0.0175742,-0.0289599,-0.0861454,-0.0481288,0.121011,-0.0276208,-0.0627291,-0.022947,"SIB","SIB"
"SIB",0.0226145,0.0389021,0.0776835,0.0702781,-0.00105788,0.00923598,-0.0331284,-0.00644033,-0.0784513,0.0792456,-0.120766,0.0521584,0.022464,0.0109977,-0.0829704,-0.0293099,0.0641915,0.032483,-0.0562962,0.00651822,"SIB","SIB"
"SIB",0.0241951,0.0401161,0.0582789,0.0718664,0.0155112,0.027435,-0.0205413,0.00921148,-0.082535,0.0861151,-0.152239,0.0521614,0.0290678,0.0550272,-0.0586252,-0.00866378,-0.00321305,0.0999929,-0.043632,0.0420002,"SIB","SIB"
"SIB",0.0202012,0.047916,0.111033,0.0774181,0.00158977,-0.0181001,-0.0409811,-0.0079801,-0.0645132,0.0405424,-0.0782297,0.0453076,-0.017399,-0.028643,-0.0861361,-0.0482875,0.121296,-0.0277034,-0.0633183,-0.0232546,"SIB","SIB"
